checksum1,checksum2,dataset_type,join_count,join_throughput,join_time,max_key,mpi_active_ranks,mpi_nodes,mpi_partition_strategy,mpi_processes,mpi_world_size,nr,ns,partition_throughput,partition_time,time_sec,total_throughput,verified
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,58565039.136809,1.707503,1000000,4,4,block,4,4,50000000,50000000,154431299.471751,0.647537,4.645945,21524147.630668,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,195828242.155423,0.510652,1000000,4,4,cyclic,4,4,50000000,50000000,446165197.239054,0.224132,2.101884,47576354.873068,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,44472935.394057,2.248559,1000000,4,4,block,4,4,50000000,50000000,153005491.043025,0.653571,5.189778,19268647.690508,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,130803344.747455,0.764506,1000000,4,4,cyclic,4,4,50000000,50000000,389637606.651565,0.256649,2.400221,41662837.497783,false
6185417096973469475,16931092769743058723,uniform,2499986166,515452588.917125,0.194004,1000000,8,4,block,8,8,50000000,50000000,1123001005.338027,0.089047,1.375573,72696976.440568,false
6185417096973469475,16931092769743058723,uniform,2499986166,408551602.825111,0.244767,1000000,8,4,cyclic,8,8,50000000,50000000,1110012090.669393,0.090089,1.079194,92661786.173427,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,60203380.617441,1.661036,1000000,8,4,block,8,8,50000000,50000000,159555943.371375,0.626739,3.762762,26576225.394569,false
12610816366499644757,12079717592018431889,skewed_90_5,40578723119,357034194.795988,0.280085,1000000,8,4,cyclic,8,8,50000000,50000000,878912801.429073,0.113777,1.156764,86448026.704403,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,45104989.403341,2.217050,1000000,8,4,block,8,8,50000000,50000000,158210032.642599,0.632071,4.327915,23105814.342030,false
12347604091913951299,2033051395823430535,skewed_90_1,173507209024,131416485.086765,0.760940,1000000,8,4,cyclic,8,8,50000000,50000000,421901417.271070,0.237022,2.118264,47208462.741710,false
6185417096973469475,16931092769743058723,uniform,2499986166,511752404.947207,0.195407,1000000,8,8,block,8,8,50000000,50000000,1074629381.899098,0.093055,1.176702,84983307.718714,false
